"","Year","SEdist","cpue","upper","lower","cv","CPUE"
"1","2025","EYKT",7.8065469642244e-24,Inf,2.22044604925031e-16,Inf,"Tweedie index"
"2","2023","EYKT",0.0320635276265437,0.0544655068829606,0.0188756125242223,0.349337407869488,"Tweedie index"
"3","2022","EYKT",0.0539437154590978,0.0986355130945777,0.0295017924704452,0.414244710946606,"Tweedie index"
"4","2021","EYKT",0.042825314058764,0.0724748232845584,0.0253054432024055,0.346168030257875,"Tweedie index"
"5","2020","EYKT",0.0327410802543618,0.0555549701822592,0.0192958133665758,0.348398552379136,"Tweedie index"
"6","2019","EYKT",0.0262149148513776,0.0496696369106551,0.0138358523115669,0.447354534474962,"Tweedie index"
"7","2018","EYKT",0.028607806365363,0.0502853234903163,0.0162752574356156,0.378874158474439,"Tweedie index"
"8","2017","EYKT",0.0507112994801247,0.0812767598419039,0.0316404824695908,0.30136735476241,"Tweedie index"
"9","2016","EYKT",0.0268691999533807,0.0469481441239558,0.0153776878640527,0.373642389900201,"Tweedie index"
"10","2015","EYKT",0.0253577143865992,0.0450448030876521,0.0142749803492561,0.3881873658033,"Tweedie index"
"11","2014","EYKT",0.0260250141076004,0.0463852089001275,0.0146016666812713,0.391165874269039,"Tweedie index"
"12","2013","EYKT",0.0200512147679138,0.0371732004956443,0.010815620078667,0.426956319751993,"Tweedie index"
"13","2012","EYKT",0.0329704869573395,0.0563614819846866,0.019287161584918,0.354726259542553,"Tweedie index"
"14","2011","EYKT",0.0242329243415178,0.0434635698841982,0.0135109615640483,0.396787553818523,"Tweedie index"
"15","2010","EYKT",0.0372667371581969,0.0624568164070663,0.0222363190811148,0.3379700125334,"Tweedie index"
"16","2009","EYKT",0.0338836714359578,0.0578341812233933,0.0198516373136713,0.353422589295015,"Tweedie index"
"17","2008","EYKT",0.0220537019436722,0.03977157040705,0.0122289807629552,0.401698284229817,"Tweedie index"
"18","2007","EYKT",0.0144821580441356,0.0284871286163746,0.00736237423012037,0.483524987420994,"Tweedie index"
"19","2006","EYKT",0.0146344212535542,0.0286659533368923,0.0074711028413924,0.479401673637431,"Tweedie index"
"20","2005","EYKT",0.0175250120665923,0.0329618263510751,0.00931762835781668,0.440422358222217,"Tweedie index"
"21","2004","EYKT",0.026038133178756,0.046015171070838,0.0147339315199092,0.383611178169654,"Tweedie index"
"22","2003","EYKT",0.0186321128781718,0.0347403839866181,0.00999285530173355,0.43227172392557,"Tweedie index"
"23","2002","EYKT",0.010712884055345,0.0222118204236622,0.00516688333483038,0.536687240751942,"Tweedie index"
"24","2001","EYKT",0.0231227720315469,0.0417861069784517,0.0127952237019496,0.403570448245609,"Tweedie index"
"25","2000","EYKT",0.0271116410099819,0.0474616693548054,0.0154870464576213,0.375300564383599,"Tweedie index"
"26","1999","EYKT",0.034771717704922,0.0590130363589535,0.020488224750824,0.34857810102663,"Tweedie index"
"27","1998","EYKT",0.0512978874007924,0.0819052339692222,0.0321282673189507,0.298329503604052,"Tweedie index"
"28","2025","CSEO",0.118973502114518,0.316730051008577,0.0446900891163302,0.831094930296787,"Tweedie index"
"29","2024","CSEO",0.242859904081878,0.388454611968799,0.151834812081975,0.299750402268615,"Tweedie index"
"30","2023","CSEO",0.220765471126652,0.343126247541334,0.142039245295281,0.277128429075042,"Tweedie index"
"31","2022","CSEO",0.176921232675164,0.285429678158176,0.109663167380771,0.306657499052809,"Tweedie index"
"32","2021","CSEO",0.149060418970098,0.245952097641971,0.0903387639973909,0.32500807169779,"Tweedie index"
"33","2020","CSEO",0.124989271767633,0.20606428448699,0.0758128372216269,0.324327886596873,"Tweedie index"
"34","2019","CSEO",0.0921712006246095,0.163372011559288,0.0520011362013435,0.386242180052867,"Tweedie index"
"35","2018","CSEO",0.0923408465072501,0.161369083829197,0.0528405549027026,0.373768705469511,"Tweedie index"
"36","2017","CSEO",0.0820267711219676,0.154386867306755,0.0435813699576329,0.441076097443804,"Tweedie index"
"37","2016","CSEO",0.112546358388017,0.198899359453317,0.0636838792302742,0.383633030433504,"Tweedie index"
"38","2015","CSEO",0.0828381564822144,0.157726806135577,0.0435066196894479,0.452017843187044,"Tweedie index"
"39","2014","CSEO",0.100746365213732,0.186536047667192,0.0544121644621069,0.425770608554752,"Tweedie index"
"40","2013","CSEO",0.0822181677516408,0.157249771435323,0.0429878342380757,0.456295766103258,"Tweedie index"
"41","2012","CSEO",0.118144163770793,0.214046592955933,0.0652103041694925,0.40587036263254,"Tweedie index"
"42","2011","CSEO",0.0773038783883845,0.144772746489391,0.0412777249779124,0.43638734244377,"Tweedie index"
"43","2010","CSEO",0.14075261004343,0.243207942900014,0.0814582657038575,0.363955356937858,"Tweedie index"
"44","2009","CSEO",0.0952223002057489,0.172662766440745,0.0525144282313205,0.406629886421926,"Tweedie index"
"45","2008","CSEO",0.074823552407305,0.14353717051967,0.0390042800382602,0.459171049099083,"Tweedie index"
"46","2007","CSEO",0.070868632133323,0.136103614821692,0.0369010259354832,0.460252870167186,"Tweedie index"
"47","2006","CSEO",0.0898979055630768,0.16413150251249,0.0492387707473335,0.412877232703309,"Tweedie index"
"48","2005","CSEO",0.113296284320465,0.197482625163908,0.0649983664647452,0.371531782124987,"Tweedie index"
"49","2004","CSEO",0.0725628983487656,0.138050412742515,0.0381409523678427,0.451246545300539,"Tweedie index"
"50","2003","CSEO",0.0716446547359029,0.138279167969612,0.0371202447020416,0.465034785074603,"Tweedie index"
"51","2002","CSEO",0.0644963818868381,0.126135020567213,0.0329788131621722,0.477845709147861,"Tweedie index"
"52","2001","CSEO",0.0790168310910303,0.155421716694378,0.0401723757043938,0.483472220717929,"Tweedie index"
"53","2000","CSEO",0.0690378608681001,0.132972820319392,0.0358436124148903,0.463042732258484,"Tweedie index"
"54","1999","CSEO",0.0902145058594642,0.162748425419782,0.0500075932929918,0.402008074362849,"Tweedie index"
"55","1998","CSEO",0.161284491078102,0.268151067172793,0.0970075835855618,0.331298364090509,"Tweedie index"
"56","2025","SSEO",0.146088054490481,0.226692059114418,0.0941440990398426,0.275874728105129,"Tweedie index"
"57","2024","SSEO",0.172164700481807,0.26178190550515,0.113226634342026,0.260265910411794,"Tweedie index"
"58","2023","SSEO",0.183885228236634,0.263004506327399,0.128567292005051,0.215132229079733,"Tweedie index"
"59","2022","SSEO",0.182650661195285,0.29846763006862,0.111775149711895,0.317045030429721,"Tweedie index"
"60","2021","SSEO",0.0856213500888699,0.1334333387864,0.0549414086293402,0.279205996214172,"Tweedie index"
"61","2020","SSEO",0.0958321592292122,0.150154369178605,0.061162407679321,0.283423698194381,"Tweedie index"
"62","2019","SSEO",0.0861718939805013,0.136153497642727,0.0545384102556945,0.290011054378908,"Tweedie index"
"63","2018","SSEO",0.073811656796052,0.117005856049344,0.0465631453239448,0.292597410275191,"Tweedie index"
"64","2017","SSEO",0.0877729281752367,0.139825204262159,0.055097984380633,0.29651668896702,"Tweedie index"
"65","2016","SSEO",0.0507354963413597,0.0876606891198607,0.0293642522645983,0.363899000120745,"Tweedie index"
"66","2015","SSEO",0.0745109561777341,0.121678061761533,0.0456276382952328,0.316511208575078,"Tweedie index"
"67","2014","SSEO",0.0974375149784471,0.15152774224793,0.0626556509344732,0.277563663653814,"Tweedie index"
"68","2013","SSEO",0.0574532586116163,0.0973037803403913,0.0339234191471907,0.346808194102307,"Tweedie index"
"69","2012","SSEO",0.073161167068834,0.120058395437156,0.0445829410545105,0.320506289382991,"Tweedie index"
"70","2011","SSEO",0.0643755278470968,0.106802527513104,0.0388025328809176,0.329527392511477,"Tweedie index"
"71","2010","SSEO",0.0755640371963513,0.121467737035319,0.0470077393123024,0.303740387240611,"Tweedie index"
"72","2009","SSEO",0.0707187635185052,0.115643306001582,0.0432462862443406,0.317628167178862,"Tweedie index"
"73","2008","SSEO",0.0447493144263563,0.0786601040192692,0.0254576467523911,0.378897308569048,"Tweedie index"
"74","2007","SSEO",0.088742091168237,0.141015073178798,0.0558462196089244,0.294521919206648,"Tweedie index"
"75","2006","SSEO",0.0779768970897426,0.125590206123198,0.0484145752080358,0.305303947774802,"Tweedie index"
"76","2005","SSEO",0.127681303663953,0.19345810058603,0.0842689722267634,0.257581944398048,"Tweedie index"
"77","2004","SSEO",0.0693494542441388,0.113902996182267,0.0422231808218986,0.321224892277318,"Tweedie index"
"78","2003","SSEO",0.130123197184448,0.195404848848188,0.0866511068958035,0.250845556658143,"Tweedie index"
"79","2002","SSEO",0.140992647986183,0.211271418654652,0.094091888589294,0.249228494082034,"Tweedie index"
"80","2001","SSEO",0.110442823941222,0.170975852791453,0.071341169884322,0.274046908119833,"Tweedie index"
"81","2000","SSEO",0.153095126426516,0.22556878136506,0.103906744513633,0.236694846629657,"Tweedie index"
"82","1999","SSEO",0.0859833374421855,0.136776708180519,0.0540525826074072,0.295367522646389,"Tweedie index"
"83","1998","SSEO",0.100437920739653,0.15637518541261,0.0645100812887109,0.278466859235139,"Tweedie index"
"84","2024","NSEO",0.142560310811902,0.419334882235634,0.0484658994034413,0.970728002230985,"Tweedie index"
"85","2023","NSEO",0.0468424943729886,0.200563969393614,0.0109402465742849,1.64083357513586,"Tweedie index"
"86","2022","NSEO",0.0923107175803553,0.364748692606937,0.0233620263839653,1.47565733518119,"Tweedie index"
"87","2021","NSEO",0.270852517537184,0.584383695017519,0.125535819841844,0.578785791491291,"Tweedie index"
"88","2020","NSEO",0.07093055096323,0.243444970762836,0.0206664489481227,1.21607979535529,"Tweedie index"
"89","2019","NSEO",0.141967740407431,0.339116840800141,0.0594333188196634,0.694344714605283,"Tweedie index"
"90","2018","NSEO",0.0767299033972507,0.276501504790158,0.0212927523841852,1.30178452303424,"Tweedie index"
"91","2017","NSEO",0.0630384486604787,0.26507077997962,0.0149916411376061,1.60245322983181,"Tweedie index"
"92","2016","NSEO",0.0545735131207192,0.192331048760915,0.0154851146163071,1.26212816220452,"Tweedie index"
"93","2015","NSEO",0.0611747803852493,0.249146885409999,0.0150206724399746,1.53635292060708,"Tweedie index"
"94","2014","NSEO",0.0615146989326021,0.202135328901789,0.0187204196580956,1.14298397301153,"Tweedie index"
"95","2013","NSEO",0.122337419668336,0.326734380844748,0.0458061505875566,0.835382018562039,"Tweedie index"
"96","2012","NSEO",0.0623995949355283,0.199785963115954,0.0194894044976429,1.10085945527671,"Tweedie index"
"97","2011","NSEO",0.0538555779549077,0.189540389002449,0.0153024022590756,1.2597099149242,"Tweedie index"
"98","2010","NSEO",0.0364564168926487,0.147943347242267,0.0089836437894984,1.52904399077271,"Tweedie index"
"99","2009","NSEO",0.0573991111294541,0.227142294517321,0.0145048193928506,1.47862205570605,"Tweedie index"
"100","2008","NSEO",0.0833601910227745,0.256983133907605,0.0270403794275926,1.04140202148406,"Tweedie index"
"101","2007","NSEO",0.0212324383993186,0.11558710836543,0.00390023114823147,2.22194616067131,"Tweedie index"
"102","2006","NSEO",0.118851146632254,0.322203661528254,0.043840578933219,0.855492440157971,"Tweedie index"
"103","2005","NSEO",0.0432128004445985,0.163595284834767,0.0114144250804705,1.39290306519832,"Tweedie index"
"104","2004","NSEO",0.0564297131544115,0.185631155516234,0.0171539767547839,1.1447997441373,"Tweedie index"
"105","2003","NSEO",0.0804206158207582,0.23123036350389,0.0279698364478901,0.937631141865772,"Tweedie index"
"106","2002","NSEO",0.0681467942380918,0.217706863273399,0.0213313695999416,1.09733752487882,"Tweedie index"
"107","2001","NSEO",0.0313594461627956,0.138336355871632,0.00710886778418412,1.70565687215089,"Tweedie index"
"108","2000","NSEO",0.0873559699824878,0.400664759927716,0.0190460111664376,1.79328779709067,"Tweedie index"
"109","1999","NSEO",0.0575707469125055,0.194087262304446,0.0170768079301608,1.18564134315831,"Tweedie index"
"110","1998","NSEO",0.137782805005568,0.342290815362825,0.0554619069608377,0.742139087489884,"Tweedie index"
"111","2025","CSEO",0.114767362308811,0.382293921818183,0.0344539808236507,1.16551672064015,"Tweedie index 2026"
"112","2024","CSEO",0.252133639997332,0.423498371005717,0.150110075435086,0.33982916958284,"Tweedie index 2026"
"113","2023","CSEO",0.239343900090506,0.385839968070927,0.148469591672794,0.306036769529167,"Tweedie index 2026"
"114","2022","CSEO",0.207336585985543,0.346534002892253,0.124052645712539,0.335679822847124,"Tweedie index 2026"
"115","2021","CSEO",0.183048683773799,0.30973260589895,0.108179829934508,0.346038877508945,"Tweedie index 2026"
"116","2020","CSEO",0.153625928056976,0.262742660931039,0.0898252521601791,0.355137750033951,"Tweedie index 2026"
"117","2019","CSEO",0.111715969763606,0.202122314694755,0.0617470560787454,0.404625879014664,"Tweedie index 2026"
"118","2018","CSEO",0.106469149792433,0.192359962253844,0.0589295179969138,0.403360093646185,"Tweedie index 2026"
"119","2017","CSEO",0.0868845646186573,0.174452569119235,0.0432720917042734,0.503933033933705,"Tweedie index 2026"
"120","2016","CSEO",0.129539413711647,0.239436301831803,0.0700831894594869,0.424183207918424,"Tweedie index 2026"
"121","2015","CSEO",0.0969083156175905,0.190309945691137,0.0493469829006205,0.481907200008088,"Tweedie index 2026"
"122","2014","CSEO",0.118335028242969,0.226775560594146,0.0617490653427397,0.458192869690803,"Tweedie index 2026"
"123","2013","CSEO",0.0971936094265623,0.195931493340179,0.0482137789710092,0.507944321114142,"Tweedie index 2026"
"124","2012","CSEO",0.141520069440128,0.268669067098485,0.0745449793332444,0.449226029076213,"Tweedie index 2026"
"125","2011","CSEO",0.0902554504113555,0.176707303239983,0.046099092564916,0.478928709759951,"Tweedie index 2026"
"126","2010","CSEO",0.167985300424631,0.298606184255475,0.0945026012408725,0.388786648297981,"Tweedie index 2026"
"127","2009","CSEO",0.0872272374115351,0.174095312310455,0.0437035945739901,0.497941224993057,"Tweedie index 2026"
"128","2008","CSEO",0.0817327966205686,0.16736844027431,0.0399134390717306,0.523875648421103,"Tweedie index 2026"
"129","2007","CSEO",0.0782511146748199,0.159132922900168,0.0384787562262853,0.516809304004552,"Tweedie index 2026"
"130","2006","CSEO",0.0860564475730912,0.170390604119268,0.0434631487292366,0.48999324817904,"Tweedie index 2026"
"131","2005","CSEO",0.118911343742364,0.218627127558772,0.0646759065469288,0.419286254272152,"Tweedie index 2026"
"132","2004","CSEO",0.07258082894821,0.149429314812969,0.0352539709989497,0.529399339869718,"Tweedie index 2026"
"133","2003","CSEO",0.0851822005468307,0.169072807407716,0.0429164654047695,0.492418640997449,"Tweedie index 2026"
"134","2002","CSEO",0.0758253772869094,0.155012075741713,0.037090580286675,0.522164882577343,"Tweedie index 2026"
"135","2001","CSEO",0.0946545005063052,0.192233306173293,0.0466072952936752,0.515447258952509,"Tweedie index 2026"
"136","2000","CSEO",0.0784151602784904,0.156265762284818,0.0393492296175152,0.496400196912447,"Tweedie index 2026"
"137","1999","CSEO",0.0791112157873674,0.156945736102469,0.0398773781230298,0.491931008393948,"Tweedie index 2026"
"138","1998","CSEO",0.194827762032146,0.33398609359823,0.113651009985212,0.357131679065131,"Tweedie index 2026"
"139","2025","SSEO",0.187804223794487,0.306666780697054,0.11501221747879,0.316453364309413,"Tweedie index 2026"
"140","2024","SSEO",0.16384887642162,0.25961943048822,0.103406953224349,0.292252703095017,"Tweedie index 2026"
"141","2023","SSEO",0.182211669627565,0.267278811853208,0.124218946942563,0.233429457069124,"Tweedie index 2026"
"142","2022","SSEO",0.135822291725655,0.263835076968924,0.069921312744104,0.471251013426573,"Tweedie index 2026"
"143","2021","SSEO",0.0807527505102701,0.131206186132484,0.049700451687464,0.312394533334176,"Tweedie index 2026"
"144","2020","SSEO",0.0992259468460887,0.158022467562062,0.0623062573278448,0.296275936813046,"Tweedie index 2026"
"145","2019","SSEO",0.0757585608446096,0.123460824310156,0.0464872932228939,0.314830845080267,"Tweedie index 2026"
"146","2018","SSEO",0.0839251298750878,0.134690729284985,0.0522933349751749,0.302445760199931,"Tweedie index 2026"
"147","2017","SSEO",0.0843316822077656,0.137585726959689,0.0516901918618003,0.315741624960845,"Tweedie index 2026"
"148","2016","SSEO",0.0792712865157131,0.129606273435613,0.0484848202118709,0.317485618893813,"Tweedie index 2026"
"149","2015","SSEO",0.0651060986333918,0.111343669029107,0.038069556322532,0.355094003221386,"Tweedie index 2026"
"150","2014","SSEO",0.0866916814365469,0.139744303009821,0.0537799929473157,0.305984499862917,"Tweedie index 2026"
"151","2013","SSEO",0.0705912533242415,0.117510214131718,0.0424058885664322,0.332328430209105,"Tweedie index 2026"
"152","2012","SSEO",0.070933314422622,0.120102980413297,0.0418935073689602,0.346590783124285,"Tweedie index 2026"
"153","2011","SSEO",0.0587182664245862,0.101421396310058,0.0339951424191422,0.363627304463398,"Tweedie index 2026"
"154","2010","SSEO",0.0743199312277284,0.122361581606083,0.0451404117631943,0.323208388279767,"Tweedie index 2026"
"155","2009","SSEO",0.0666022733478996,0.111389698287266,0.0398229179476594,0.336230451965339,"Tweedie index 2026"
"156","2008","SSEO",0.0384224487687679,0.0702168853785564,0.0210246376128702,0.413748181448978,"Tweedie index 2026"
"157","2007","SSEO",0.081111297100659,0.131586255095645,0.0499979463095845,0.311146287873728,"Tweedie index 2026"
"158","2006","SSEO",0.0791235921793332,0.128607219716026,0.0486795597726563,0.312698312688702,"Tweedie index 2026"
"159","2005","SSEO",0.119310271024775,0.185259425822364,0.0768378759073477,0.276376686730912,"Tweedie index 2026"
"160","2004","SSEO",0.0542623160338565,0.0932711987484326,0.0315681473045032,0.359447269908613,"Tweedie index 2026"
"161","2003","SSEO",0.114978458284275,0.175865141005577,0.0751714967152555,0.264774304812669,"Tweedie index 2026"
"162","2002","SSEO",0.140440897674967,0.213147740698598,0.0925350917401508,0.258852101586183,"Tweedie index 2026"
"163","2001","SSEO",0.107498521203598,0.170344206516488,0.0678387149013014,0.292309534164953,"Tweedie index 2026"
"164","2000","SSEO",0.109758553221868,0.170618695826065,0.0706073853573398,0.277245557716001,"Tweedie index 2026"
"165","1999","SSEO",0.0720840569685947,0.118493885918129,0.0438513027806494,0.321914657007679,"Tweedie index 2026"
"166","1998","SSEO",0.0930776536032972,0.148949750782779,0.0581635723105688,0.300137009349271,"Tweedie index 2026"
"167","2025","EYKT",1.10182522472207e-24,Inf,2.22044604925031e-16,Inf,"Tweedie index 2026"
"168","2023","EYKT",0.0290313533706683,0.0501749063451172,0.0167976293315918,0.364150315427791,"Tweedie index 2026"
"169","2022","EYKT",0.046176421952481,0.0864244131172679,0.0246719863916268,0.43580673277593,"Tweedie index 2026"
"170","2021","EYKT",0.038603677902488,0.0663871382403096,0.0224477811079102,0.359855094739961,"Tweedie index 2026"
"171","2020","EYKT",0.0293614843526531,0.0506739761540341,0.0170126133534612,0.36293280587252,"Tweedie index 2026"
"172","2019","EYKT",0.0237539326684071,0.045765439348593,0.0123291576623434,0.463323420745851,"Tweedie index 2026"
"173","2018","EYKT",0.025614353766709,0.0457942980253499,0.0143270046092404,0.393918668462931,"Tweedie index 2026"
"174","2017","EYKT",0.0454643895077099,0.0741265176064227,0.0278849024620801,0.315215143204027,"Tweedie index 2026"
"175","2016","EYKT",0.0237661311626945,0.0423261852830757,0.0133446703657522,0.390472769701675,"Tweedie index 2026"
"176","2015","EYKT",0.0228681059640898,0.0413103314905637,0.0126590673934508,0.403230279661859,"Tweedie index 2026"
"177","2014","EYKT",0.0233949553240332,0.0423963437523478,0.0129096965957873,0.406100122123224,"Tweedie index 2026"
"178","2013","EYKT",0.0179154676172784,0.0337886417090478,0.00949916787746475,0.443001947559007,"Tweedie index 2026"
"179","2012","EYKT",0.029365312553666,0.0511073047977306,0.016872765738427,0.370198549808222,"Tweedie index 2026"
"180","2011","EYKT",0.0218667140102319,0.0398750916584536,0.0119912747963277,0.411776036394753,"Tweedie index 2026"
"181","2010","EYKT",0.0332513472931012,0.0567131952033526,0.0194954999950535,0.352795447706854,"Tweedie index 2026"
