"","Year","SEdist","cpue","upper","lower","cv","CPUE"
"1","2025","CSEO",0.117343131819194,0.312235774477663,0.0440994008715739,0.830439070600079,"Tweedie index"
"2","2024","CSEO",0.240607419035412,0.384817671446931,0.150439895021469,0.299679563060966,"Tweedie index"
"3","2023","CSEO",0.219123091299647,0.340501654060724,0.141012322754093,0.276964335527501,"Tweedie index"
"4","2022","CSEO",0.17533402299684,0.282830799454709,0.108694030775737,0.306548536959671,"Tweedie index"
"5","2021","CSEO",0.147950181371353,0.244043779541177,0.0896939729788228,0.324749849169266,"Tweedie index"
"6","2020","CSEO",0.124124663820996,0.204562391375894,0.0753165431096481,0.324019921096825,"Tweedie index"
"7","2019","CSEO",0.0915125769423454,0.162143131635763,0.0516491303340632,0.38590627132004,"Tweedie index"
"8","2018","CSEO",0.0915642069129912,0.159985497425281,0.0524047749485588,0.373624655414242,"Tweedie index"
"9","2017","CSEO",0.0813061767947565,0.152972482411529,0.0432149251993963,0.440718703313784,"Tweedie index"
"10","2016","CSEO",0.11152642766072,0.197043571726113,0.0631238256483225,0.383394079139468,"Tweedie index"
"11","2015","CSEO",0.0821383364915739,0.156341860718572,0.0431535501150754,0.451698484511006,"Tweedie index"
"12","2014","CSEO",0.0999122090182075,0.18491735895328,0.0539833013374372,0.425399211819959,"Tweedie index"
"13","2013","CSEO",0.081465535452172,0.15576233073969,0.0426074355397278,0.456001392951852,"Tweedie index"
"14","2012","CSEO",0.117011320061557,0.21192841982833,0.064605063509835,0.405589389628449,"Tweedie index"
"15","2011","CSEO",0.0766324212073736,0.143464539246561,0.0409336551801953,0.436056417024421,"Tweedie index"
"16","2010","CSEO",0.139638159419288,0.241194756946539,0.0808426178614176,0.36364199424281,"Tweedie index"
"17","2009","CSEO",0.0943163078552713,0.170987410213787,0.0520246836672252,0.406457293028091,"Tweedie index"
"18","2008","CSEO",0.0741634115822739,0.142222103937439,0.0386733950999714,0.458842783140195,"Tweedie index"
"19","2007","CSEO",0.0702761469882289,0.134915830025214,0.036606059011668,0.459897744876452,"Tweedie index"
"20","2006","CSEO",0.0890385523962939,0.162538321934832,0.0487753516737189,0.412741265218489,"Tweedie index"
"21","2005","CSEO",0.112295018599597,0.195687442174681,0.0644403701236351,0.371309540775048,"Tweedie index"
"22","2004","CSEO",0.0718670817815926,0.136705869114561,0.0377809488155472,0.451102129971105,"Tweedie index"
"23","2003","CSEO",0.0710271453999214,0.137033461829234,0.0368147700300257,0.464655562726487,"Tweedie index"
"24","2002","CSEO",0.0639758500747143,0.12505421242568,0.0327290805594795,0.477354832172099,"Tweedie index"
"25","2001","CSEO",0.0782787240504332,0.153934496538842,0.0398062732963675,0.483246076160269,"Tweedie index"
"26","2000","CSEO",0.0684148428664618,0.131736037088723,0.0355300707982459,0.462773804405695,"Tweedie index"
"27","1999","CSEO",0.0893615698484166,0.161185343104105,0.0495422847511381,0.401871707141683,"Tweedie index"
"28","1998","CSEO",0.160001313861752,0.265928039411717,0.0962682253970659,0.331018299141873,"Tweedie index"
"29","2025","SSEO",0.144937382984747,0.224860995872633,0.0934214709178205,0.275717731485108,"Tweedie index"
"30","2024","SSEO",0.170690589446632,0.259494191187031,0.112277185058989,0.260130338843793,"Tweedie index"
"31","2023","SSEO",0.182348484734126,0.260785702022922,0.12750304033888,0.215075045463531,"Tweedie index"
"32","2022","SSEO",0.181339050383082,0.296210836954337,0.111015017316558,0.31673207267984,"Tweedie index"
"33","2021","SSEO",0.0849139746773659,0.132309351728409,0.0544963980347288,0.279078780796237,"Tweedie index"
"34","2020","SSEO",0.0950306852905053,0.148878930206813,0.0606588933319041,0.283320302025055,"Tweedie index"
"35","2019","SSEO",0.0854030392166981,0.134928204212478,0.054056000745131,0.28994966367717,"Tweedie index"
"36","2018","SSEO",0.0731809274255769,0.1159921495269,0.0461707810460529,0.292502593280616,"Tweedie index"
"37","2017","SSEO",0.0870995257774139,0.138724474417881,0.0546862939829782,0.296356083340779,"Tweedie index"
"38","2016","SSEO",0.0503169227837957,0.0869264444233561,0.0291256905217464,0.363789353701796,"Tweedie index"
"39","2015","SSEO",0.073918024703832,0.120686636897338,0.0452732341921514,0.316354585913883,"Tweedie index"
"40","2014","SSEO",0.0966482899096225,0.150277405757936,0.062157660330526,0.27744472198351,"Tweedie index"
"41","2013","SSEO",0.057017544940346,0.0965446121514913,0.0336735562821788,0.346621967435639,"Tweedie index"
"42","2012","SSEO",0.0725877949562854,0.119094881368311,0.0442419348008833,0.320350593650306,"Tweedie index"
"43","2011","SSEO",0.0638790589769913,0.105952688662314,0.0385127949776824,0.329322553894208,"Tweedie index"
"44","2010","SSEO",0.0749624864845258,0.120480189714672,0.0466414801740506,0.303603211184449,"Tweedie index"
"45","2009","SSEO",0.0701982688247434,0.114762195129186,0.0429392008443528,0.317414710152618,"Tweedie index"
"46","2008","SSEO",0.0443812018758591,0.0780016393768855,0.0252519190068387,0.378768894036127,"Tweedie index"
"47","2007","SSEO",0.0880211205363764,0.139848241030088,0.0554008945941077,0.294401617349858,"Tweedie index"
"48","2006","SSEO",0.0773961873692308,0.124629385291401,0.0480638639538117,0.305139048367053,"Tweedie index"
"49","2005","SSEO",0.126666298131404,0.191890527050139,0.0836120017436899,0.257464810612333,"Tweedie index"
"50","2004","SSEO",0.068786322258031,0.112961152365981,0.041886595795836,0.321101845961772,"Tweedie index"
"51","2003","SSEO",0.129078739682153,0.19381083904209,0.0859669207371554,0.250746557951122,"Tweedie index"
"52","2002","SSEO",0.13986647042294,0.209555981472109,0.0933527614489733,0.249128725556723,"Tweedie index"
"53","2001","SSEO",0.109592271101476,0.169625664880249,0.070805711468595,0.273894286409965,"Tweedie index"
"54","2000","SSEO",0.15191093104075,0.223787813771644,0.103119694413814,0.236575742899018,"Tweedie index"
"55","1999","SSEO",0.0853426686653303,0.13572601850213,0.0536623056897973,0.295182647934157,"Tweedie index"
"56","1998","SSEO",0.0997168361379429,0.15521970953997,0.06406046911717,0.278302418887656,"Tweedie index"
"57","2024","NSEO",0.141405941810118,0.415480769213452,0.0481265123703807,0.969106474222156,"Tweedie index"
"58","2023","NSEO",0.0467119534323624,0.199940600258604,0.010913274195661,1.64014385577037,"Tweedie index"
"59","2022","NSEO",0.0919941667457384,0.363006760001422,0.0233134135441708,1.4729879232709,"Tweedie index"
"60","2021","NSEO",0.268594699893283,0.579243711271284,0.124547079937093,0.578285817816633,"Tweedie index"
"61","2020","NSEO",0.0707184995352065,0.242536367926621,0.0206200258512327,1.21480142763688,"Tweedie index"
"62","2019","NSEO",0.141666927691011,0.338124224856005,0.0593554585151571,0.693377418311368,"Tweedie index"
"63","2018","NSEO",0.0765494939437943,0.275791975698543,0.0212472643854444,1.30139646580186,"Tweedie index"
"64","2017","NSEO",0.0631086246654686,0.265080950066485,0.0150244614189291,1.60019590405946,"Tweedie index"
"65","2016","NSEO",0.0543982608266123,0.191602478578292,0.0154443241179209,1.26110849562821,"Tweedie index"
"66","2015","NSEO",0.0612508219299261,0.249175673578207,0.0150562979652748,1.53405983566454,"Tweedie index"
"67","2014","NSEO",0.0614516633344071,0.201635534097477,0.0187283801115121,1.14060273682275,"Tweedie index"
"68","2013","NSEO",0.121937156286077,0.325476573662298,0.0456827657850495,0.834607856930405,"Tweedie index"
"69","2012","NSEO",0.0623468598755724,0.199573910762251,0.0194771497010696,1.10051293008619,"Tweedie index"
"70","2011","NSEO",0.0537942330035422,0.189098728871339,0.0153032202898007,1.25761153485437,"Tweedie index"
"71","2010","NSEO",0.0363945658955315,0.147548667722919,0.008977135796384,1.52707003219174,"Tweedie index"
"72","2009","NSEO",0.0571278377782929,0.225919555968889,0.0144458049911907,1.47731583020575,"Tweedie index"
