"Year","SEdist","mean_cpue","CV","lower_95","upper_95","n_cells","grid","model"
1998,"CSEO",0.148763848752774,0.182944370513876,0.0954214517687905,0.202106245736757,27,"Depth restricted (14-250 fm)","M.1"
1998,"EYKT",0.0499634115815273,0.243085768844686,0.0261584387174651,0.0737683844455895,75,"Depth restricted (14-250 fm)","M.1"
1998,"NSEO",0.136305791995509,0.450168625244114,0.0160390336444693,0.256572550346548,12,"Depth restricted (14-250 fm)","M.1"
1998,"SSEO",0.106387685881711,0.200492455364391,0.0645810262903099,0.148194345473112,59,"Depth restricted (14-250 fm)","M.1"
1999,"CSEO",0.0681093156217193,0.170028164409739,0.0454115318695649,0.0908070993738737,27,"Depth restricted (14-250 fm)","M.1"
1999,"EYKT",0.0274929157424555,0.253465230229909,0.0138346592344837,0.0411511722504274,75,"Depth restricted (14-250 fm)","M.1"
1999,"NSEO",0.0617927442496565,0.438638207366524,0.00866761346043881,0.114917875038874,12,"Depth restricted (14-250 fm)","M.1"
1999,"SSEO",0.0574708490399521,0.187520752417189,0.0363479744060601,0.078593723673844,59,"Depth restricted (14-250 fm)","M.1"
2000,"CSEO",0.0776725148209495,0.170203127579086,0.0517611091200108,0.103583920521888,27,"Depth restricted (14-250 fm)","M.1"
2000,"EYKT",0.0268739276304705,0.241646682987934,0.014145696507779,0.0396021587531621,75,"Depth restricted (14-250 fm)","M.1"
2000,"NSEO",0.0721963092353069,0.448014885995191,0.00880006758270092,0.135592550887913,12,"Depth restricted (14-250 fm)","M.1"
2000,"SSEO",0.0737860619141515,0.183343507469341,0.0472707989425181,0.100301324885785,59,"Depth restricted (14-250 fm)","M.1"
2001,"CSEO",0.0706970352315744,0.170185081406808,0.0471151370672077,0.0942789333959411,27,"Depth restricted (14-250 fm)","M.1"
2001,"EYKT",0.023043471043793,0.244099228196037,0.0120186797901677,0.0340682622974182,75,"Depth restricted (14-250 fm)","M.1"
2001,"NSEO",0.057837960741571,0.430446507790269,0.00904151023248792,0.106634411250654,12,"Depth restricted (14-250 fm)","M.1"
2001,"SSEO",0.0619578973107514,0.209637464286352,0.0365000522006608,0.087415742420842,59,"Depth restricted (14-250 fm)","M.1"
2002,"CSEO",0.0714324289907633,0.184658414263056,0.0455788548245536,0.097286003156973,27,"Depth restricted (14-250 fm)","M.1"
