"","model_name","parameter","estimate","std_err","lci","uci"
"1","22.2","process_error",0.10391408,0.01790549,0.07413161,0.1456617
"2","22.2","scaling_parameter_q",1.279e-05,1.55e-06,1.009e-05,1.621e-05
"3","22.2","scaling_parameter_q",4.89e-06,6.9e-07,3.7e-06,6.45e-06
"4","22.2","scaling_parameter_q",7.685e-05,2.071e-05,4.531e-05,0.00013033
"5","22.2","scaling_parameter_q",1.155e-05,1.88e-06,8.39e-06,1.59e-05
"6","22.2","extra_biomass_cv",0.18694693,0.05809961,0.10166719,0.3437604
