"","model_name","variable","year","pred","pred_lci","pred_uci"
"1","22.2","tot_biomass_pred",1994,22722.9125247437,17997.3736694945,28689.2278334108
"2","22.2","tot_biomass_pred",1995,22875.3194439428,18365.1598774138,28493.0947051532
"3","22.2","tot_biomass_pred",1996,22619.0006608189,18330.9958456854,27910.0598353224
"4","22.2","tot_biomass_pred",1997,22379.5534129643,18401.1549189324,27218.096536344
"5","22.2","tot_biomass_pred",1998,22116.7576673918,18396.4686924549,26589.394839606
"6","22.2","tot_biomass_pred",1999,19855.8262084787,16669.8512547552,23650.7109989265
"7","22.2","tot_biomass_pred",2000,18838.8192401134,15729.4600342951,22562.8285769424
"8","22.2","tot_biomass_pred",2001,17936.9407246522,14908.6849718404,21580.2965296657
"9","22.2","tot_biomass_pred",2002,17527.7920825835,14560.532618603,21099.7429378208
"10","22.2","tot_biomass_pred",2003,17428.1805455033,14523.1905357521,20914.2389462516
"11","22.2","tot_biomass_pred",2004,16674.998500827,13859.8449185689,20061.9542741098
"12","22.2","tot_biomass_pred",2005,16832.1439451562,14033.9212602849,20188.3040766544
"13","22.2","tot_biomass_pred",2006,16009.3084595173,13305.7981323332,19262.1257892954
"14","22.2","tot_biomass_pred",2007,15363.9300099305,12744.277930515,18522.0650896857
"15","22.2","tot_biomass_pred",2008,15221.791271167,12600.8844461589,18387.830671172
"16","22.2","tot_biomass_pred",2009,16041.1675179134,13370.0484387227,19245.932916182
"17","22.2","tot_biomass_pred",2010,16701.3900706472,13921.0322613974,20037.0507771465
"18","22.2","tot_biomass_pred",2011,16465.283241439,13716.3341609069,19765.1609417254
"19","22.2","tot_biomass_pred",2012,16824.4256864362,14063.2448125314,20127.7374782088
"20","22.2","tot_biomass_pred",2013,16695.637319652,13930.2741737709,20009.9654918637
"21","22.2","tot_biomass_pred",2014,17279.2936243149,14422.9598599969,20701.2978648998
"22","22.2","tot_biomass_pred",2015,17610.451267897,14711.3773211002,21080.8265663994
"23","22.2","tot_biomass_pred",2016,18527.075171872,15527.0651006966,22106.7221782174
"24","22.2","tot_biomass_pred",2017,19434.5243262432,16298.1565053903,23174.4452608749
"25","22.2","tot_biomass_pred",2018,20138.915228984,16905.0526612871,23991.4015487795
"26","22.2","tot_biomass_pred",2019,21146.7332594567,17686.3300783483,25284.1785472531
"27","22.2","tot_biomass_pred",2020,23243.1685006728,19462.5903676765,27758.1180996292
"28","22.2","tot_biomass_pred",2021,25347.1231722762,21148.1075387516,30379.8650509637
"29","22.2","tot_biomass_pred",2022,27354.651192798,22766.3459599744,32867.6785987174
"30","22.2","tot_biomass_pred",2023,28579.2494143969,23681.6316036164,34489.7476137403
"31","22.2","tot_biomass_pred",2024,29065.9032233434,23948.330767624,35277.0612025658
"32","22.2","tot_biomass_pred",2025,28954.8718934894,23581.059928351,35553.3045976618
"33","22.2","tot_biomass_pred",2026,28954.8718934894,22901.6964744477,36607.9695145641
