year,estimate,lower,upper
1994,22600,18100,28300
1995,22800,18400,28200
1996,22500,18300,27600
1997,22200,18300,27000
1998,21800,18200,26300
1999,21100,17700,25300
2000,20700,17200,24900
2001,20200,16700,24500
2002,19900,16500,24200
2003,19700,16300,23900
2004,18800,15600,22900
2005,18300,15200,22200
2006,17500,14500,21300
2007,17000,14000,20700
2008,16700,13800,20400
2009,16900,13900,20500
2010,17000,14000,20500
2011,16800,13800,20300
2012,16700,13800,20200
2013,16700,13800,20300
2014,17100,14100,20600
2015,17400,14400,20900
2016,17800,14800,21200
2017,18300,15300,21900
2018,18800,15900,22600
2019,19700,16600,23700
2020,21100,17700,25400
2021,22400,18600,27400
2022,23800,19400,29600
2023,24900,19700,31500
2024,24900,19300,32200
