"","year","Directed","Incidental","UnreportedDiscard","Research","Recreational","Subsistence","OFL","ABC","TAC"
"1",1992,361.934856272536,167.598109334119,191.273967195434,0,16,8,NA,550,550
"2",1993,342.439524773765,229.732105627066,267.312409287917,15.0088200404568,20,8,NA,800,800
"3",1994,383.30354978448,267.932907295697,283.102115142022,4.02169763593,34,8,NA,960,960
"4",1995,155.320828723196,123.35419369484,72.1985185808563,14.173374507256,25,8,NA,580,580
"5",1996,345.16288311074,93.7835857011242,135.296968823239,12.032032825716,28,8,NA,950,950
"6",1997,267.176419728136,104.808778902228,216.561775401123,16.219470856644,38,8,NA,950,950
"7",1998,240.829355488644,119.126811947241,174.748489284627,2.358716767392,19,8,NA,560,560
"8",1999,240.42598257121,125.368787628763,175.359695164127,1.916455105544,35,8,NA,560,560
"9",2000,182.769555504188,104.763746405724,150.376785732403,7.914638533196,55,8,NA,340,340
"10",2001,172.574077482756,144.933236176668,113.032935619817,7.07817332428,51,8,410,330,330
"11",2002,135.928161513872,147.92732249836,128.420475014301,1.697256578244,49,8,480,350,350
"12",2003,102.198831069216,168.30770530238,94.8624499083621,5.981926676036,51,8,540,390,390
"13",2004,173.517862653512,154.745437691948,169.640614919305,1.81920035906,64,8,690,450,450
"14",2005,42.360436317348,191.939792231672,156.635671346596,4.245593112532,76,8,640,410,410
"15",2006,0,203.673952788037,49.0806718161831,2.152835712956,89,8,650,410,410
"16",2007,0,196.497370415333,47.5160727918644,2.8890433937,83,8,650,410,410
"17",2008,42.3076622477444,152.221079367342,36.0468418918685,0.98177289922664,83,8,611,382,382
"18",2009,75.6700874699454,139.554405093846,33.6825529005999,2.44320565472964,48,8,580,362,362
"19",2010,29.5196638006513,132.552067565408,31.4292912973128,6.68086008379532,64,8,472,295,295
"20",2011,21.7033734437788,87.7000559512898,11.9204544227587,5.4067236588378,52,6,479,300,300
"21",2012,104.65215573536,77.1040190996734,10.3790921614491,4.062069627492,57,7,467,293,293
"22",2013,129.498014105833,83.8940717108136,11.3830397234723,3.72293405751284,48,7,487,303,303
"23",2014,32.9847857356,64.0958706245028,8.49201144344936,4.7956535029982,49,7,438,274,274
"24",2015,33.2306328164,70.1828985605134,9.15057061209633,3.91970257671056,60,8,361,225,225
"25",2016,34.2770704832,79.3125408093632,10.3494114470813,3.98938312368388,55,7,364,231,231
"26",2017,32.207328362,93.8094800120504,12.1194572632761,4.58265245401864,57,7,357,227,227
"27",2018,51.103963750962,80.4732560918268,10.3033988616602,5.5202165596494,55,7,394,250,250
"28",2019,45.4619740065983,88.8568831757783,10.7480623814488,10.1965445986014,60,7,411,261,261
"29",2020,0,99.2338998526264,12.1427920067794,5.6909997681544,4,7,375,238,238
"30",2021,0,99.1741037644377,12.9400949573322,6.37577850755704,5,7,405,257,257
"31",2022,0,154.530972355983,20.9629206824816,6.50128684424844,6,7,579,365,365
"32",2023,0,178.556155794731,23.6652854500344,10.0297872040833,7,7,376,283,283
"33",2024,0,145.928082606766,19.9675004443899,5.359915417916,10,7,376,283,283
"34",2025,64.757007855862,131.004501060447,17.1288181266595,2.43442873250812,45,7,524,394,394
"35",2026,58.1708093761591,73.1059040954933,9.75608170504276,1.04791415542124,45,7,524,394,394
