"","year","commercial","sport","subsistence","total_catch"
"1",2010,192.997367360902,49.7483332,3.7,246.445700560902
"2",2011,123.816363995148,35.21221344,2.7,161.728577435148
"3",2012,187.910806298345,37.38174778,3.1,228.392554078345
"4",2013,220.480764055147,32.74021868,3.1,256.320982735147
"5",2014,107.055324403731,30.63374684,3.1,140.789071243731
